CourseID,CourseNumber,CourseTitle,TitleShortDescription,MinCredit,MaxCredit
812,B382,Theater for Young Audiences,Theater for Young Audiences,3,NULL
813,B301,Theater History I,Theater History I,3,NULL
814,B302,Theater History II,Theater History II,3,NULL
815,B302,Theatre History II,Theatre History II,3,NULL
816,B220,Theatre Laboratory,Theatre Laboratory,1,NULL
817,B250,Theories of Communication,Theories of Communication,3,NULL
818,B250,Theories of Human Comm,Theories of Communication,3,NULL
819,B210,Time-Based Media 1,Digital Animation 1,3,NULL
820,B310,Time-Based Media 2,Digital Animation 2,3,NULL
821,B331,Topic Cultural Historiography,Topic Cultural Historiography,3,NULL
822,B398,Topics (taught in English),Selected Topics,3,NULL
823,B398,Topics (taught in Spanish),Selected Topics,3,NULL
824,B429,Topics in American Literature,Topics in American Literature,3,NULL
825,B499,Topics in Biology,Topics in Biology,1,3
826,B397,Topics in Business,Topics in Business,1,3
827,B398,Topics in Comm Studies,Topics in Communications Studi,3,NULL
828,B398,Topics in Communications Studi,Topics in Communications Studi,3,NULL
829,B515,Topics in Computational Sci,Topics in Computational Sci,3,NULL
830,B209,Topics in Computer Programming,Topics in Computer Programming,1,3
831,B419,Topics in English Literature,Topics in English Literature,3,NULL
832,B295,Topics in French Culture,Topics in French Culture,3,NULL
833,B492,Topics in History,Topics in History,3,NULL
834,B398,Topics in Philosophy,Topics in Philosophy,3,NULL
835,B400,Topics in Political Theory,Topics in Political Theory,3,NULL
836,B499,Topics in Religious Studies,Topics in Religious Studies,3,NULL
837,B398,Topics in Sociology,Topics in Sociology,3,NULL
838,B395,Topics in Studio Art,Topics in Studio Art,3,NULL
839,B439,Topics in Theater & Performanc,Topics in Theater & Performanc,3,NULL
