CourseOfferingID,CourseID,EmployeeID,TermID,RoomID,CRN,ActualCredits,MaxEnrollment,Section,MeetingDays,MeetingTime
359,374,91,86,88,27449,3,25,1,M W    ,3:30 PM - 4:45 PM
360,374,91,8,88,52304,3,35,1,T Th   ,12:15 PM - 1:30 PM
361,374,91,19,88,50359,3,25,1,T Th   ,12:15 PM - 1:30 PM
362,374,91,29,88,54415,3,25,1,T Th   ,12:15 PM - 1:30 PM
363,374,91,39,88,53420,3,35,1,T Th   ,12:15 PM - 1:30 PM
364,374,91,49,87,55978,3,25,1,T Th   ,9:25 AM - 10:40 AM
365,374,91,60,94,54495,3,25,WS1,T Th   ,9:25 AM - 10:40 AM
366,374,91,69,81,56023,3,25,1,T Th   ,9:25 AM - 10:40 AM
367,374,91,78,88,55292,3,25,1,T Th   ,9:25 AM - 10:40 AM
368,374,91,89,88,56228,3,25,1,T Th   ,9:25 AM - 10:40 AM
369,375,91,1,87,22012,3,35,1,T Th   ,3:05 PM - 4:20 PM
370,375,91,5,87,20089,3,25,1,T Th   ,3:05 PM - 4:20 PM
371,375,91,15,87,25075,3,25,1,T Th   ,3:05 PM - 4:20 PM
372,375,91,25,88,25917,3,25,1,T Th   ,3:05 PM - 4:20 PM
373,375,91,34,87,26827,3,25,1,T Th   ,12:15 PM - 1:30 PM
374,375,91,45,94,32036,3,25,1,T Th   ,12:15 PM - 1:30 PM
375,375,91,56,81,26698,3,25,1,T Th   ,12:15 PM - 1:30 PM
376,375,91,66,86,28988,3,25,1,T Th   ,12:15 PM - 1:30 PM
